ID	DOCULECT	CONCEPT	ENTRY	FORM	TOKENS	COGID	ROOT	ALIGNMENT
6897	Shor	five	peš	peʃ	p e ʃ	718	beš	p e - ʃ - -
6898	Tatar	five	biš	biʃ	b i ʃ	718	beš	b i - ʃ - -
6899	Tofa	five	beš	beʃ	b e ʃ	718	beš	b e - ʃ - -
6900	Turkish	five	beš	beʃ	b e ʃ	718	beš	b e - ʃ - -
6901	Turkmen	five	bäš	bɛʃ	b æ ʃ	718	beš	b æ - ʃ - -
6902	Tuvan	five	beš	beʃ	b e ʃ	718	beš	b e - ʃ - -
6903	Uighur	five	bäš	bɛʃ	b æ ʃ	718	beš	b æ - ʃ - -
6904	Uzbek	five	beš	beʃ	b e ʃ	718	beš	b e - ʃ - -
6905	Yakut	five	bies	bies	b i e s	718	beš	b i e s - -
5343	Baraba	flow (v.)	aḳ-		a q	516	*iak	- a q
5344	CodexCumanicus	flow (v.)	ag-/ah-		a g	516	*iak	- a g
5345	NorthAltai	flow (v.)	aḳ-		a q	516	*iak	- a q
5346	OldUyghur	flow (v.)	aḳ		a q	516	*iak	- a q
5347	SouthAltai	flow (v.)	aḳ	aq	a q	516	*iak	- a q
5348	Azeri	flow (v.)	aχ	aχ	a χ	516	*iak	- a χ
5349	Bashkir	flow (v.)	aḳ	aq	a q	516	*iak	- a q
5350	Chuvash	flow (v.)	yuχ	juχ	j u χ	516	*iak	j u χ
5351	CrimeanTatar	flow (v.)	aḳ	aq	a q	516	*iak	- a q
5352	Gagauz	flow (v.)	ak	ak	a k	516	*iak	- a k
5353	KaraKalpak	flow (v.)	aḳ	aq	a q	516	*iak	- a q
5354	KarachayBalkar	flow (v.)	aḳ	aq	a q	516	*iak	- a q
5355	Karaim	flow (v.)	ak	ak	a k	516	*iak	- a k
5356	Kazakh	flow (v.)	aḳ	aq	a q	516	*iak	- a q
5357	Khakas	flow (v.)	aḳ	aq	a q	516	*iak	- a q
5358	Kirghiz	flow (v.)	aḳ	aq	a q	516	*iak	- a q
5359	Kumyk	flow (v.)	aḳ	aq	a q	516	*iak	- a q
5360	MiddleChulym	flow (v.)	aḳ	aq	a q	516	*iak	- a q
5361	Nogai	flow (v.)	aḳ	ak	a q	516	*iak	- a q
5362	SarygYugur	flow (v.)	aḳ, (aχ)	aq, (aχ)	a q	516	*iak	- a q
5363	Shor	flow (v.)	aḳ	aq	a q	516	*iak	- a q
5364	Tatar	flow (v.)	aḳ	aq	a q	516	*iak	- a q
5365	Tofa	flow (v.)	aˁḳ	aˁq	aˁ q	516	*iak	- aˁ q
5366	Turkish	flow (v.)	ak	ak	a k	516	*iak	- a k
5367	Turkmen	flow (v.)	aḳ	aq	a q	516	*iak	- a q
5368	Tuvan	flow (v.)	aḳ	aq	a q	516	*iak	- a q
5369	Uighur	flow (v.)	aḳ	aq	a q	516	*iak	- a q
5370	Uzbek	flow (v.)	ɔḳ	ɔq	ɔ q	516	*iak	- ɔ q
5371	Yakut	flow (v.)	sü:r	sy:r	s yː r	517	*jügür	
5372	Dolgan	flow (v.)	tehin, testi:	tehin, testi:	t e h i n	518	tes	
5373	Khalaj	flow (v.)	? var	? var	v a r	519	*bar	
5374	Salar	flow (v.)	für	fyr	f y r	520	üfür	f y r
6906	Baraba	flower (n.)	čičäk		tʃ i tʃ æ k	719	čeček	tʃ i tʃ æ k - - - -
6907	CodexCumanicus	flower (n.)	čiček		tʃ i tʃ e k	719	čeček	tʃ i tʃ e k - - - -
6908	NorthAltai	flower (n.)	čeǰek		ʨ e ʥ e k	719	čeček	ʨ e ʥ e k - - - -
6909	OldUyghur	flower (n.)	čeček		tʃ e tʃ e k	719	čeček	tʃ e tʃ e k - - - -
6910	SouthAltai	flower (n.)	čeček	ʨeʨek	tʃ e tʃ e k	719	čeček	tʃ e tʃ e k - - - -
6911	Azeri	flower (n.)	čičäk	ʨiʨɛk	tʃ i tʃ æ k	719	čeček	tʃ i tʃ æ k - - - -
6912	Bashkir	flower (n.)	säskä	sɛskɛ	s æ s k æ	719	čeček	s æ s - k æ - - -
6913	CrimeanTatar	flower (n.)	čiček	ʨiʨek	tʃ i tʃ e k	719	čeček	tʃ i tʃ e k - - - -
6914	Gagauz	flower (n.)	čiček	ʨiʨek	tʃ i tʃ e k	719	čeček	tʃ i tʃ e k - - - -
6915	Karaim	flower (n.)	čečägi	ʨeʨɛgi	tʃ e tʃ æ g i	719	čeček	tʃ e tʃ æ g - i - -
6916	Kumyk	flower (n.)	čeček	ʨeʨek	tʃ e tʃ e k	719	čeček	tʃ e tʃ e k - - - -
6917	Nogai	flower (n.)	šešekej	ʃeʃekej	ʃ e ʃ e k e j	719	čeček	ʃ e ʃ e k - - e j
6918	Salar	flower (n.)	čičeχ	ʨiʨeχ	tʃ i tʃ e χ	719	čeček	tʃ i tʃ e χ - - - -
6919	SarygYugur	flower (n.)	čüčüg	ʨyʨyg	tʃ y tʃ y g	719	čeček	tʃ y tʃ y g - - - -
6920	Tatar	flower (n.)	čäčäk, čäčkä	ʨɛʨɛk, ʨɛʨkɛ	tʃ æ tʃ æ k	719	čeček	tʃ æ tʃ æ k - - - -
6921	Turkish	flower (n.)	čiček	ʨiʨek	tʃ i tʃ e k	719	čeček	tʃ i tʃ e k - - - -
6922	Tuvan	flower (n.)	čeček	ʨeʨek	tʃ e tʃ e k	719	čeček	tʃ e tʃ e k - - - -
6923	Uighur	flower (n.)	? čečäk	? ʨeʨɛk	tʃ e tʃ æ k	719	čeček	tʃ e tʃ æ k - - - -
6924	Khakas	flower (n.)	čaχayaχ	ʨaχajaχ	tʃ a χ a j a χ	720	čakkijek	
6925	Shor	flower (n.)	čaḳkiyek	tɕaqkijek	tʃ a q k i j e k	720	čakkijek	
6926	Dolgan	flower (n.)	ot	ot	o t	721	*ot	
6927	Tofa	flower (n.)	aḳ(ḳ)aš	aq(q)aʃ	a q q a ʃ	722	aḳḳaš	a q q a ʃ
632	CodexCumanicus	fly (n.)	čibin		tʃ i b i n	41	*čVpVn: CPN	- - - tʃ i b i n
633	SouthAltai	fly (n.)	čïmïn	ʨɯmɯn	tʃ ɯ m ɯ n	41	*čVpVn: CPN	- - - tʃ ɯ m ɯ n
634	Bashkir	fly (n.)	seben	seben	s e b e n	41	*čVpVn: CPN	- - - s e b e n
635	CrimeanTatar	fly (n.)	čibin	ʨibin	tʃ i b i n	41	*čVpVn: CPN	- - - tʃ i b i n
636	KaraKalpak	fly (n.)	šïbïn	ʃɯbɯn	ʃ ɯ b ɯ n	41	*čVpVn: CPN	- - - ʃ ɯ b ɯ n
637	KarachayBalkar	fly (n.)	čibin	ʨibin	tʃ i b i n	41	*čVpVn: CPN	- - - tʃ i b i n
638	Karaim	fly (n.)	cibin, čibin	ʦibin, ʨibin	ʦ i b i n	41	*čVpVn: CPN	- - - ʦ i b i n
639	Kazakh	fly (n.)	šïbïn	ʃɯbɯn	ʃ ɯ b ɯ n	41	*čVpVn: CPN	- - - ʃ ɯ b ɯ n
640	Kirghiz	fly (n.)	čïmïn	ʨɯmɯn	tʃ ɯ m ɯ n	41	*čVpVn: CPN	- - - tʃ ɯ m ɯ n
641	Kumyk	fly (n.)	ǰibin	ʥibin	ʥ i b i n	41	*čVpVn: CPN	- - - ʥ i b i n
642	Nogai	fly (n.)	šïbïn	ʃɯbɯn	ʃ ɯ b ɯ n	41	*čVpVn: CPN	- - - ʃ ɯ b ɯ n
643	Salar	fly (n.)	pohčüin	pohʨyin	p o h tʃ y i n	41	*čVpVn: CPN	p o h tʃ y - i n
644	SarygYugur	fly (n.)	čivin	ʨivin	tʃ i v i n	41	*čVpVn: CPN	- - - tʃ i v i n
645	Tatar	fly (n.)	čeben	ʨeben	tʃ e b e n	41	*čVpVn: CPN	- - - tʃ e b e n
646	Uighur	fly (n.)	čivin	ʨivin	tʃ i v i n	41	*čVpVn: CPN	- - - tʃ i v i n
647	Baraba	fly (n.)	čergäy, cergäy		tʃ e r g æ j	42	*čekürtke	tʃ e - - - r g æ j
648	Dolgan	fly (n.)	haksïrga	haksɯrga	h a k s ɯ r g a	42	*čekürtke	h a k s ɯ r g a -
649	Yakut	fly (n.)	saχsïrɣa	saχsɯrɣa	s a χ s ɯ r ɣ a	42	*čekürtke	s a χ s ɯ r ɣ a -
650	Chuvash	fly (n.)	šəna	ʃə̈na	ʃ ə n a	43	*siŋek	ʃ ə n a -
651	Gagauz	fly (n.)	sinek	sinek	s i n e k	43	*siŋek	s i n e k
652	Khakas	fly (n.)	seek	seek	s e e k	43	*siŋek	s e - e k
653	Tofa	fly (n.)	(ḳara)seek	(qara)seek	s e e k	43	*siŋek	s e - e k
654	Turkish	fly (n.)	sinek	sinek	s i n e k	43	*siŋek	s i n e k
655	Turkmen	fly (n.)	siŋek	siŋek	s i ŋ e k	43	*siŋek	s i ŋ e k
656	Tuvan	fly (n.)	(ḳara)seek	(qara)seek	s e e k	43	*siŋek	s e - e k
657	NorthAltai	fly (n.)	kögen		k ø g e n	44	*kö:k	
658	OldUyghur	fly (n.)	kodɣu		q o d ɣ u	45	*kodgu	q o d ɣ u
659	Khalaj	fly (n.)	gudɣu	gudɣu	g u d ɣ u	45	*kodgu	g u d ɣ u
4282	Baraba	fly (v.)	Oč-, uc-		o ʨ	407	*uč	- o ʨ - -
4283	CodexCumanicus	fly (v.)	uč-		u tʃ	407	*uč	- u tʃ - -
4284	NorthAltai	fly (v.)	uč- ~ uš-		u ʨ	407	*uč	- u ʨ - -
4285	OldUyghur	fly (v.)	uč		u tʃ	407	*uč	- u tʃ - -
4286	SouthAltai	fly (v.)	uč	uʨ	u tʃ	407	*uč	- u tʃ - -
4287	Azeri	fly (v.)	uč	uʨ	u tʃ	407	*uč	- u tʃ - -
4288	Bashkir	fly (v.)	os	os	o s	407	*uč	- o s - -
4289	Chuvash	fly (v.)	vɘʷś	vø̈ɕ	v ø̆ ɕ	407	*uč	v ø̆ ɕ - -
4290	CrimeanTatar	fly (v.)	uč	uʨ	u tʃ	407	*uč	- u tʃ - -
4291	Gagauz	fly (v.)	uč	uʨ	u tʃ	407	*uč	- u tʃ - -
4292	KaraKalpak	fly (v.)	uš	uʃ	u ʃ	407	*uč	- u ʃ - -
4293	KarachayBalkar	fly (v.)	uč	uʨ	u tʃ	407	*uč	- u tʃ - -
4294	Karaim	fly (v.)	uč, uc	uʨ, uʦ	u tʃ	407	*uč	- u tʃ - -
4295	Kazakh	fly (v.)	ŭš	ŭʃ	u ʃ	407	*uč	- u ʃ - -
4296	Khakas	fly (v.)	učuχ	uʨuχ	u tʃ u χ	407	*uč	- u tʃ u χ
4297	Khalaj	fly (v.)	? uč	? uʨ	u tʃ	407	*uč	- u tʃ - -
4298	Kirghiz	fly (v.)	uč	uʨ	u tʃ	407	*uč	- u tʃ - -
4299	Kumyk	fly (v.)	uč	uʨ	u tʃ	407	*uč	- u tʃ - -
4300	MiddleChulym	fly (v.)	uč	uʨ	u tʃ	407	*uč	- u tʃ - -
4301	Nogai	fly (v.)	uš	uʃ	u ʃ	407	*uč	- u ʃ - -
4302	Salar	fly (v.)	uč, uš, üč	uʨ, uʃ, yʨ	u tʃ	407	*uč	- u tʃ - -
4303	SarygYugur	fly (v.)	uš, uč, üč	uʃ, uʨ, yʨ	u ʃ	407	*uč	- u ʃ - -
4304	Shor	fly (v.)	učuḳ	utɕuq	u tʃ u q	407	*uč	- u tʃ u q
4305	Tatar	fly (v.)	oč	oʨ	o tʃ	407	*uč	- o tʃ - -
4306	Tofa	fly (v.)	uˁš	uˁʃ	uˁ ʃ	407	*uč	- uˁ ʃ - -
4307	Turkish	fly (v.)	uč	uʨ	u tʃ	407	*uč	- u tʃ - -
4308	Turkmen	fly (v.)	uč	uʨ	u tʃ	407	*uč	- u tʃ - -
4309	Tuvan	fly (v.)	uš	uʃ	u ʃ	407	*uč	- u ʃ - -
4310	Uighur	fly (v.)	uč	uʨ	u tʃ	407	*uč	- u tʃ - -
4311	Uzbek	fly (v.)	uč	uʨ	u tʃ	407	*uč	- u tʃ - -
4312	Dolgan	fly (v.)	köt	køt	k ø t	408	*göt	k ø t
4313	Yakut	fly (v.)	köt	køt	k ø t	408	*göt	k ø t
4892	CodexCumanicus	foam (n.)	kobelek		k o b e l e k	468	köpük	k o b e - - l e k
4893	NorthAltai	foam (n.)	köbük		k ø b y k	468	köpük	k ø b y k - - - -
4894	SouthAltai	foam (n.)	köbük	købyk	k ø b y k	468	köpük	k ø b y k - - - -
4895	Azeri	foam (n.)	köpük	køpyk	k ø p y k	468	köpük	k ø p y k - - - -
4896	Bashkir	foam (n.)	kübek	kybek	k y b e k	468	köpük	k y b e k - - - -
4897	Chuvash	foam (n.)	kəʷbəʷk	köbök	k ŏ b ŏ k	468	köpük	k ŏ b ŏ k - - - -
4898	CrimeanTatar	foam (n.)	köpük	køpyk	k ø p y k	468	köpük	k ø p y k - - - -
4899	Gagauz	foam (n.)	köpük	køpyk	k ø p y k	468	köpük	k ø p y k - - - -
4900	KaraKalpak	foam (n.)	köbik	købik	k ø b i k	468	köpük	k ø b i k - - - -
4901	KarachayBalkar	foam (n.)	kömük	kømyk	k ø m y k	468	köpük	k ø m y k - - - -
4902	Karaim	foam (n.)	köbük	købyk	k ø b y k	468	köpük	k ø b y k - - - -
4903	Kazakh	foam (n.)	köbĭk	købɘk	k ø b ĭ k	468	köpük	k ø b ĭ k - - - -
4904	Khakas	foam (n.)	köbɘk	købɘk	k ø b ĭ k	468	köpük	k ø b ĭ k - - - -
4905	Kirghiz	foam (n.)	köbük	købyk	k ø b y k	468	köpük	k ø b y k - - - -
4906	Kumyk	foam (n.)	göbük	gøbyk	g ø b y k	468	köpük	g ø b y k - - - -
4907	MiddleChulym	foam (n.)	ko:β'ük	ko:β'yk	k oː βˈ y k	468	köpük	k oː βˈ y k - - - -
4908	Nogai	foam (n.)	köbik	købik	k ø b i k	468	köpük	k ø b i k - - - -
4909	SarygYugur	foam (n.)	kivek, (kevïk)	kivek, (kevɯk)	k i v e k	468	köpük	k i v e k - - - -
4910	Shor	foam (n.)	köbük	købyk	k ø b y k	468	köpük	k ø b y k - - - -
4911	Tatar	foam (n.)	kübek	kybek	k y b e k	468	köpük	k y b e k - - - -
4912	Tofa	foam (n.)	köˁpük	køˁpyk	k øˁ p y k	468	köpük	k øˁ p y k - - - -
4913	Turkish	foam (n.)	köpük	køpyk	k ø p y k	468	köpük	k ø p y k - - - -
4914	Turkmen	foam (n.)	köpür	køpyr	k ø p y r	468	köpük	k ø p y - r - - -
4915	Uighur	foam (n.)	köpük, kövük	køpyk, køvyk	k ø p y k	468	köpük	k ø p y k - - - -
4916	Uzbek	foam (n.)	kọpik	kopik	k o p i k	468	köpük	k o p i k - - - -
6928	Baraba	fog (n.)	tOman		t o m a n	723	tuman	t o m a n
6929	CodexCumanicus	fog (n.)	touman		t u m a n	723	tuman	t u m a n
6930	NorthAltai	fog (n.)	tuban		t u b a n	723	tuman	t u b a n
6931	OldUyghur	fog (n.)	tuman		t u m a n	723	tuman	t u m a n
6932	SouthAltai	fog (n.)	tuman	tuman	t u m a n	723	tuman	t u m a n
6933	Azeri	fog (n.)	duman	duman	d u m a n	723	tuman	d u m a n
6934	Bashkir	fog (n.)	toman	toman	t o m a n	723	tuman	t o m a n
6935	CrimeanTatar	fog (n.)	tuman	tuman	t u m a n	723	tuman	t u m a n
6936	Dolgan	fog (n.)	tuman	tuman	t u m a n	723	tuman	t u m a n
6937	Gagauz	fog (n.)	duman	duman	d u m a n	723	tuman	d u m a n
6938	KaraKalpak	fog (n.)	duman	duman	d u m a n	723	tuman	d u m a n
6939	KarachayBalkar	fog (n.)	tuban	tuban	t u b a n	723	tuman	t u b a n
6940	Karaim	fog (n.)	tuman	tuman	t u m a n	723	tuman	t u m a n
6941	Kazakh	fog (n.)	tŭman	tŭman	t u m a n	723	tuman	t u m a n
6942	Khakas	fog (n.)	tuban	tuban	t u b a n	723	tuman	t u b a n
6943	Kirghiz	fog (n.)	tuman	tuman	t u m a n	723	tuman	t u m a n
6944	Kumyk	fog (n.)	tuman	tuman	t u m a n	723	tuman	t u m a n
6945	Nogai	fog (n.)	tuman	tuman	t u m a n	723	tuman	t u m a n
6946	Salar	fog (n.)	tuman	tuman	t u m a n	723	tuman	t u m a n
6947	Shor	fog (n.)	tuban	tuban	t u b a n	723	tuman	t u b a n
6948	Tatar	fog (n.)	toman	toman	t o m a n	723	tuman	t o m a n
6949	Tofa	fog (n.)	tuman	tuman	t u m a n	723	tuman	t u m a n
6950	Turkmen	fog (n.)	duman	duman	d u m a n	723	tuman	d u m a n
6951	Tuvan	fog (n.)	tuman	tuman	t u m a n	723	tuman	t u m a n
6952	Uighur	fog (n.)	tuman	tuman	t u m a n	723	tuman	t u m a n
6953	Uzbek	fog (n.)	tuman	tuman	t u m a n	723	tuman	t u m a n
6954	Yakut	fog (n.)	tuman	tuman	t u m a n	723	tuman	t u m a n
6955	Chuvash	fog (n.)	tɘtre	tɘtre	t ø̆ t r e	724	tütre	t ø̆ t r e
6956	SarygYugur	fog (n.)	manan	manan	m a n a n	725	manan	
6957	Turkish	fog (n.)	sis	sis	s i s	726	sis	
6131	NorthAltai	forehead (n.)	ḳabaḳ, (Р) ḳaḳpaɣa		q a b a q	617	*K(i)amak / *K(i)apak	q a b a q
6132	Khakas	forehead (n.)	χamaχ	χamaχ	χ a m a χ	617	*K(i)amak / *K(i)apak	χ a m a χ
6133	MiddleChulym	forehead (n.)	ḳamaḳ	qamaq	q a m a q	617	*K(i)amak / *K(i)apak	q a m a q
6134	Shor	forehead (n.)	ḳabaḳ	qabaq	q a b a q	617	*K(i)amak / *K(i)apak	q a b a q
6135	Tuvan	forehead (n.)	χavaḳ	χavaq	χ a v a q	617	*K(i)amak / *K(i)apak	χ a v a q
6136	CodexCumanicus	forehead (n.)	alni		a l n i	618	*a:l	- a l - n - i
6137	OldUyghur	forehead (n.)	alïn		a l ɯ n	618	*a:l	- a l ɯ n - -
6138	Azeri	forehead (n.)	alïn	alɯn	a l ɯ n	618	*a:l	- a l ɯ n - -
6139	Gagauz	forehead (n.)	annï	annɯ	a nː ɯ	618	*a:l	- a nː - - - ɯ
6140	Khalaj	forehead (n.)	ha:anl(ï), (1969) ha:ll	ha:anl(ɯ), (1969) ha:ll	h aː n l ɯ	618	*a:l	h aː - - n l ɯ
6141	SarygYugur	forehead (n.)	al(ïn)	al(ɯn)	a l ɯ n	618	*a:l	- a l ɯ n - -
6142	Turkish	forehead (n.)	alïn	alɯn	a l ɯ n	618	*a:l	- a l ɯ n - -
6143	Turkmen	forehead (n.)	? alïn	? alɯn	a l ɯ n	618	*a:l	- a l ɯ n - -
6144	Dolgan	forehead (n.)	hü:s	hy:s	h yː s	619	*jü:ŕ	h yː s
6145	Yakut	forehead (n.)	sü:s	sy:s	s yː s	619	*jü:ŕ	s yː s
6146	Chuvash	forehead (n.)	śamga	ɕamga	ɕ a m g a	620	*iemgek	
6147	Kirghiz	forehead (n.)	čeke	ʨeke	tʃ e k e	621	*čẹke	
6148	Tofa	forehead (n.)	dostaḳ	dostaq	d o s t a q	622	dostaḳ, cf. Tuv. dostaḳ 'выпуклость, шапка'	
6149	Salar	forehead (n.)	menzi	menzi	m e n z i	623	*beŋiŕ	
5496	Baraba	four	tört		t ø r t	540	dört	t - - ø r t -
5497	CodexCumanicus	four	tort		t o r t	540	dört	t - - o r t -
5498	NorthAltai	four	tört		t ø r t	540	dört	t - - ø r t -
5499	OldUyghur	four	tört		t ø r t	540	dört	t - - ø r t -
5500	SouthAltai	four	tört	tørt	t ø r t	540	dört	t - - ø r t -
5501	Azeri	four	dörd	dørd	d ø r d	540	dört	d - - ø r d -
5502	Bashkir	four	dürt	dyrt	d y r t	540	dört	d - - y r t -
5503	Chuvash	four	təʷvattə, təʷvadə, təʷvat	tövattə̈, tövadə̈, tövat	t ŏ v a d ə	540	dört	t ŏ v a - d ə
5504	CrimeanTatar	four	dört	dørt	d ø r t	540	dört	d - - ø r t -
5505	Dolgan	four	tüört	tyørt	t y ø r t	540	dört	t - y ø r t -
5506	Gagauz	four	dört	dørt	d ø r t	540	dört	d - - ø r t -
5507	KaraKalpak	four	tört	tørt	t ø r t	540	dört	t - - ø r t -
5508	KarachayBalkar	four	tört	tørt	t ø r t	540	dört	t - - ø r t -
5509	Karaim	four	dört	dørt	d ø r t	540	dört	d - - ø r t -
5510	Kazakh	four	tört	tørt	t ø r t	540	dört	t - - ø r t -
5511	Khakas	four	tört	tørt	t ø r t	540	dört	t - - ø r t -
5512	Khalaj	four	tö:ört, tü:ört	tø:ørt, ty:ørt	t øː r t	540	dört	t - - øː r t -
5513	Kirghiz	four	tört	tørt	t ø r t	540	dört	t - - ø r t -
5514	Kumyk	four	dört	dørt	d ø r t	540	dört	d - - ø r t -
5515	MiddleChulym	four	tört	tørt	t ø r t	540	dört	t - - ø r t -
5516	Nogai	four	dört	dørt	d ø r t	540	dört	d - - ø r t -
5517	SarygYugur	four	dürt, türt, tört	dyrt, tyrt, tørt	d y r t	540	dört	d - - y r t -
5518	Shor	four	tört	tørt	t ø r t	540	dört	t - - ø r t -
5519	Tatar	four	dürt	dyrt	d y r t	540	dört	d - - y r t -
5520	Tofa	four	dört	dørt	d ø r t	540	dört	d - - ø r t -
5521	Turkish	four	dört	dørt	d ø r t	540	dört	d - - ø r t -
5522	Turkmen	four	dört	dørt	d ø r t	540	dört	d - - ø r t -
5523	Tuvan	four	dört	dørt	d ø r t	540	dört	d - - ø r t -
5524	Uighur	four	tört	tørt	t ø r t	540	dört	t - - ø r t -
5525	Uzbek	four	tọrt	tort	t o r t	540	dört	t - - o r t -
5526	Yakut	four	tüört	tyørt	t y ø r t	540	dört	t - y ø r t -
6958	Baraba	freeze (v.)	pustan-		p u s t a n	727	buzla	p u s t a n - - - - - - - - - - -
6959	CrimeanTatar	freeze (v.)	buzla	buzla	b u z l a	727	buzla	b u z l a - - - - - - - - - - - -
6960	Dolgan	freeze (v.)	bu:hur	bu:hur	b uː h u r	727	buzla	b uː h - - - u r - - - - - - - - -
6961	KaraKalpak	freeze (v.)	muzla	muzla	m u z l a	727	buzla	m u z l a - - - - - - - - - - - -
6962	KarachayBalkar	freeze (v.)	buzla	buzla	b u z l a	727	buzla	b u z l a - - - - - - - - - - - -
6963	Karaim	freeze (v.)	buzla	buzla	b u z l a	727	buzla	b u z l a - - - - - - - - - - - -
6964	Kazakh	freeze (v.)	(mŭz) ḳat	(mŭz) qat	m u z _ q a t	727	buzla	m u z - - - - - _ q a t - - - - -
6965	Khalaj	freeze (v.)	bu:za:ḳ va:a	bu:za:q va:a	b uː z aː q _ v aː	727	buzla	b uː z - - - - - - - - - aː q _ v aː
6966	Kumyk	freeze (v.)	buzla	buzla	b u z l a	727	buzla	b u z l a - - - - - - - - - - - -
6967	Nogai	freeze (v.)	buzla	buzla	b u z l a	727	buzla	b u z l a - - - - - - - - - - - -
6968	Uzbek	freeze (v.)	muzla	muzla	m u z l a	727	buzla	m u z l a - - - - - - - - - - - -
6969	NorthAltai	freeze (v.)	toŋdïr-		t o ŋ d ɯ r	728	toŋ	t o ŋ d ɯ r
6970	OldUyghur	freeze (v.)	toŋ		t o ŋ	728	toŋ	t o ŋ - - -
6971	SouthAltai	freeze (v.)	toŋ	toŋ	t o ŋ	728	toŋ	t o ŋ - - -
6972	Azeri	freeze (v.)	don	don	d o n	728	toŋ	d o n - - -
6973	Bashkir	freeze (v.)	tuŋ	tuŋ	t u ŋ	728	toŋ	t u ŋ - - -
6974	Gagauz	freeze (v.)	don	don	d o n	728	toŋ	d o n - - -
6975	KaraKalpak	freeze (v.)	toŋ	toŋ	t o ŋ	728	toŋ	t o ŋ - - -
6976	Khakas	freeze (v.)	toŋ	toŋ	t o ŋ	728	toŋ	t o ŋ - - -
6977	Kirghiz	freeze (v.)	toŋ	toŋ	t o ŋ	728	toŋ	t o ŋ - - -
6978	MiddleChulym	freeze (v.)	toŋ	toŋ	t o ŋ	728	toŋ	t o ŋ - - -
6979	Salar	freeze (v.)	toŋ	toŋ	t o ŋ	728	toŋ	t o ŋ - - -
6980	SarygYugur	freeze (v.)	toŋ	toŋ	t o ŋ	728	toŋ	t o ŋ - - -
6981	Shor	freeze (v.)	toŋ	toŋ	t o ŋ	728	toŋ	t o ŋ - - -
6982	Tatar	freeze (v.)	tuŋ	tuŋ	t u ŋ	728	toŋ	t u ŋ - - -
6983	Tofa	freeze (v.)	doŋ	doŋ	d o ŋ	728	toŋ	d o ŋ - - -
6984	Turkish	freeze (v.)	don	don	d o n	728	toŋ	d o n - - -
6985	Turkmen	freeze (v.)	doŋ	doŋ	d o ŋ	728	toŋ	d o ŋ - - -
6986	Tuvan	freeze (v.)	doŋ	doŋ	d o ŋ	728	toŋ	d o ŋ - - -
6987	Uighur	freeze (v.)	toŋ(la)	toŋ(la)	t o ŋ	728	toŋ	t o ŋ - - -
6988	Yakut	freeze (v.)	toŋ	toŋ	t o ŋ	728	toŋ	t o ŋ - - -
6989	Chuvash	freeze (v.)	šən	ʃə̈n	ʃ ə n	729	šăn	
6990	Baraba	fruit (n.)	yĕmiš		j e m i ʃ	730	jemiš	j e - m i ʃ
6991	CodexCumanicus	fruit (n.)	jemis etc.		j e m i s	730	jemiš	j e - m i s
6992	OldUyghur	fruit (n.)	yemiš		j e m i ʃ	730	jemiš	j e - m i ʃ
6993	Bashkir	fruit (n.)	yemeš	jemeʃ	j e m e ʃ	730	jemiš	j e - m e ʃ
6994	Chuvash	fruit (n.)	śimɘś	ɕimɘɕ	ɕ i m ĭ ɕ	730	jemiš	ɕ i - m ĭ ɕ
6995	Gagauz	fruit (n.)	yemiš	jemiʃ	j e m i ʃ	730	jemiš	j e - m i ʃ
6996	KaraKalpak	fruit (n.)	žemis	ʒemis	ʒ e m i s	730	jemiš	ʒ e - m i s
6997	Karaim	fruit (n.)	yemis	jemis	j e m i s	730	jemiš	j e - m i s
6998	Kazakh	fruit (n.)	žemĭs	ʒemɘs	ʒ e m ĭ s	730	jemiš	ʒ e - m ĭ s
6999	Kirghiz	fruit (n.)	? ǰemiš	? ʥemiʃ	ʥ e m i ʃ	730	jemiš	ʥ e - m i ʃ
7000	Kumyk	fruit (n.)	yemiš	jemiʃ	j e m i ʃ	730	jemiš	j e - m i ʃ
7001	Nogai	fruit (n.)	yemis	jemis	j e m i s	730	jemiš	j e - m i s
7002	SarygYugur	fruit (n.)	? ǰimis	? ʥimis	ʥ i m i s	730	jemiš	ʥ i - m i s
7003	Tatar	fruit (n.)	ǰimeš	ʥimeʃ	ʥ i m e ʃ	730	jemiš	ʥ i - m e ʃ
7004	Turkmen	fruit (n.)	? iymiš	? ijmiʃ	i j m i ʃ	730	jemiš	- i j m i ʃ
7005	Tuvan	fruit (n.)	čimis	ʨimis	tʃ i m i s	730	jemiš	tʃ i - m i s
7006	Uighur	fruit (n.)	yimiš	jimiʃ	j i m i ʃ	730	jemiš	j i - m i ʃ
7007	KarachayBalkar	fruit (n.)	köget	køget	k ø g e t	731	köget	
4941	Baraba	full	tol-		t o l	474	tolu	t o l - - - - - - - - - - - - - - -
4942	CodexCumanicus	full	to(u)lu		t u l u	474	tolu	t u l u - - - - - - - - - - - - - -
4943	NorthAltai	full	toltïra (Р)		t o l t ɯ r a	474	tolu	t o l - - t ɯ r a - - - - - - - - -
4944	OldUyghur	full	tolu		t o l u	474	tolu	t o l u - - - - - - - - - - - - - -
4945	SouthAltai	full	tolo	tolo	t o l o	474	tolu	t o l o - - - - - - - - - - - - - -
4946	Azeri	full	dolu	dolu	d o l u	474	tolu	d o l u - - - - - - - - - - - - - -
4947	Bashkir	full	tulï	tulɯ	t u l ɯ	474	tolu	t u l ɯ - - - - - - - - - - - - - -
